Municipio,Codigo,Año,Total suscriptores urbanos,Suscriptores  urbano estrato 01,Suscriptores  urbano estrato 02,Suscriptores urbano estrato 03,Suscriptores urbano estrato 04,Suscriptores  urbano estrato 05,Suscriptores urbano estrato 06,Suscriptores urbano industrial,Suscriptores urbano  comercial,Suscriptores urbano oficial,Suscriptores urbano alumbrado publico,Consumo promedio urbano estrato 01,Consumo promedio urbano estrato 02,Consumo promedio urbano estrato 03,Consumo promedio urbano estrato 04,Consumo promedio urbano estrato 05,Consumo promedio urbano estrato 06,Consumo promedio urbano industrial,Consumo promedio urbano comercial,Consumo promedio urbano oficial,Consumo promedio urbano alumbrado publico,Consumo total urbano estrato 01,Consumo total urbano estrato 02,Consumo total urbano estrato 03,Consumo total urbano estrato 04,Consumo total urbano estrato 05,Consumo total urbano estrato 06,Consumo total urbano industrial,Consumo total urbano comercial,Consumo total urbano oficial,Consumo total urbano alumbrado publico,# Suscriptores rurales,Suscriptores rural estrato 01,Suscriptores  rural estrato 02,Suscriptores  rural estrato 03,Suscriptores rural estrato 04,Suscriptores rural estrato 05,Suscriptores rural estrato 06,Suscriptores rural industrial,Suscriptores rural comercial,Suscriptores rural oficial,Suscriptores rural alumbrado publico,Consumo promedio rural estrato 01,Consumo promedio rural estrato 02,Consumo promedio rural estrato 03,Consumo promedio rural estrato 04,Consumo promedio rural estrato 05,Consumo promedio rural estrato 06,Consumo promedio rural industrial,Consumo promedio rural comercial,Consumo promedio rural oficial,Consumo promedio rural alumbrado publico,Consumo total rural estrato 01,Consumo total rural estrato 02,Consumo total rural estrato 03,Consumo total rural estrato 04,Consumo total rural estrato 05,Consumo total rural estrato 06,Consumo total rural industrial,Consumo total rural comercial,Consumo total rural oficial,Consumo total rural alumbrado publico,Porcentaje cobertuta municipio
Lopez de Micay,19418,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Lopez de Micay,19418,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Lopez de Micay,19418,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Lopez de Micay,19418,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Lopez de Micay,19418,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Mercaderes,19450,2012,1732,1391,227,2,1,0,0,11,68,25,7,904.8756290438533,1052.9779735682819,1510.5,988,0,0,5755.727272727273,2773.926470588235,8406.28,28823.714285714286,1258682,239026,3021,988,0,0,63313,188627,210157,201766,2391.0,2214,123,0,0,0,0,7,12,35,0,680.5031616982836,836.6260162601626,0,0,0,0,268.57142857142856,9429.25,1150.3142857142857,0,1506634,102905,0,0,0,0,1880,113151,40261,0,0.0
Mercaderes,19450,2013,1822,1440,245,2,1,0,0,12,87,29,6,1164.8951388888888,1288.0857142857142,653,592,0,0,6030.083333333333,2324.5632183908046,7314.206896551724,46750,1677449,315581,1306,592,0,0,72361,202237,212112,280500,2443.0,2257,123,0,0,0,0,8,14,41,0,923.0256978289765,1140.60162601626,0,0,0,0,181.5,9007.642857142857,1356.560975609756,0,2083269,140294,0,0,0,0,1452,126107,55619,0,0.84
Mercaderes,19450,2014,1756,1392,228,0,0,0,0,13,89,28,6,989.5244252873563,1234.8201754385964,0,0,0,0,5987.2307692307695,2561.3370786516853,6772.571428571428,46107.666666666664,1377418,281539,0,0,0,0,77834,227959,189632,276646,2509.0,2330,122,0,0,0,0,5,15,37,0,1077.084120171674,1329.8360655737704,0,0,0,0,154.8,2780.6666666666665,1140.2972972972973,0,2509606,162240,0,0,0,0,774,41710,42191,0,0.86
Mercaderes,19450,2015,1817,1435,234,5,1,1,1,14,91,29,6,1171.618118466899,1383.982905982906,848.2,84,133,701,6653.571428571428,2600.1428571428573,7117.448275862069,41964.333333333336,1681272,323852,4241,84,133,701,93150,236613,206406,251786,2585.0,2358,138,16,9,1,4,6,15,38,0,1145.4770992366412,1280.8333333333333,473.125,336,176,210.5,122.66666666666667,2960.133333333333,1306.8157894736842,0,2701035,176755,7570,3024,176,842,736,44402,49659,0,0.87
Mercaderes,19450,2016,1870,1483,241,4,0,0,1,13,92,30,6,1246.087660148348,1407.319502074689,1631.25,0,0,999,7808.2307692307695,2706.9565217391305,7323.133333333333,41048,1847948,339164,6525,0,0,999,101507,249040,219694,246288,2664.0,2417,160,13,9,0,3,6,16,40,0,1119.0401323955316,1238.76875,1211.2307692307693,872.6666666666666,0,418.3333333333333,235.5,4839.1875,1498.7,0,2704720,198203,15746,7854,0,1255,1413,77427,59948,0,0.888
Mercaderes,19450,2017,1925,1530,250,2,,,1,13,92,31,6,961.464705882353,1135.152,900.5,0,0,1075,9946.153846153846,2511.4239130434785,6553.677419354839,40922.333333333336,1471041,283788,1801,0,0,1075,129300,231051,203164,245534,2943.0,2697,158,10,9,0,3,6,17,43,0,1249.0348535409714,1364.113924050633,1273.2,826.8888888888889,0,505,212.33333333333334,3187.1176470588234,1280.88372093023,0,3368647,215530,12732,7442,0,1515,1274,54181,55078,0,0.89
Miranda,19455,2012,4846,2063,2361,173,0,0,0,18,174,30,27,1117.9767329132333,1308.411266412537,1213.086705202312,0,0,0,179484.33333333334,4144.954022988506,7763.433333333333,57757.92592592593,2306386,3089159,209864,0,0,0,3230718,721222,232903,1559464,2440.0,2158,212,2,0,0,0,1,28,39,0,866.2131603336422,1455.188679245283,1443.5,0,0,0,45119,2713.3214285714284,4431.846153846154,0,1869288,308500,2887,0,0,0,45119,75973,172842,0,0.0
